leg_3_to_leg_1_time,leg_2_to_leg_1_time,leg_2_correction_percent,is_big_fractal_resistance,last_tp_sl_1_number,last_tp_sl_2_number,rsi_filter_passed,rsi_value
5.78,7.78,70,True,2,2,False,100
2.1,0.38,41,False,2,2,False,100
2.54,0.42,94,True,8,8,True,0
1.28,0.89,80,True,8,8,True,0
0.6,2.6,56,False,-1,-1,True,0
0.47,1.06,53,False,3,8,True,0
0.56,0.05,69,False,8,8,True,0
2.34,1.51,92,True,8,8,True,0
0.92,0.62,72,False,-1,-1,True,0
1.79,0.64,58,False,2,2,False,100
0.76,0.28,44,True,2,2,False,100
0.34,0.36,32,False,8,8,True,0
1.85,0.69,80,True,7,7,True,0
1.55,0.39,86,False,8,8,True,0
0.39,0.41,78,True,3,5,True,0
1.31,0.21,46,True,2,2,False,100
0.91,0.53,76,True,2,2,False,100
0.48,1.62,48,False,2,2,False,100
2.0,2.14,89,False,2,2,False,100
1.39,1.04,74,False,2,2,False,100
0.97,0.54,87,False,1,1,False,100
1.19,0.34,46,True,1,1,True,0
1.69,0.21,65,False,2,2,False,100
0.15,0.02,60,False,2,2,False,100
0.45,2.73,84,False,-1,-1,True,0
0.75,0.34,93,True,2,2,False,100
0.16,0.39,30,True,2,2,False,100
2.0,1.14,81,False,2,2,False,100
0.5,0.17,34,False,2,2,False,100
1.18,1.05,45,False,2,2,False,100
0.54,0.58,68,False,-1,-1,False,100
0.67,0.86,36,False,-1,2,True,0
5.87,2.53,100,False,2,2,False,100
1.88,0.85,78,True,2,2,False,100
0.08,0.22,49,True,2,2,False,100
5.8,5.4,93,False,2,2,False,100
3.93,0.62,68,False,2,2,False,100
0.92,0.34,91,True,8,8,True,0
0.47,0.47,51,True,5,8,True,0
4.17,1.09,56,True,3,5,True,0
5.13,3.13,81,True,2,2,False,100
1.23,0.19,54,False,2,2,False,100
0.32,0.5,47,True,2,6,True,0
1.03,0.34,88,True,2,2,True,0
1.55,0.73,55,True,2,2,False,100
1.07,0.46,81,True,5,8,True,0
2.27,0.19,54,True,2,5,True,0
1.58,0.24,33,True,6,6,True,0
0.29,0.29,52,False,-1,-1,False,100
1.87,0.57,57,True,3,3,True,0
8.1,1.6,81,True,2,2,False,100
2.25,0.16,61,False,2,2,False,100
2.63,0.58,100,True,1,1,False,100
0.98,0.81,22,False,4,6,True,0
1.11,0.4,86,True,1,1,True,0
0.73,0.24,64,True,-1,-1,True,0
1.96,0.02,38,True,2,2,False,100
0.22,0.53,60,False,2,2,False,100
3.48,0.27,81,False,6,6,True,0
0.44,0.22,50,True,-1,8,True,0
0.56,0.25,28,False,4,4,True,0
0.76,0.93,68,False,-1,-1,False,100
1.46,0.49,75,False,2,2,False,100
0.53,0.65,41,False,2,2,False,100
2.22,0.74,37,True,2,2,False,100
2.66,0.5,73,False,-1,-1,True,0
0.58,0.92,89,False,2,2,False,100
0.3,0.7,54,False,-1,-1,False,100
2.12,1.12,90,False,1,1,True,0
0.59,0.34,46,True,4,4,True,0
0.71,2.58,85,True,2,2,True,0
1.66,0.5,35,True,2,2,False,100
2.83,1.0,77,False,8,8,True,0
0.63,3.25,91,True,-1,-1,False,100
1.27,0.71,86,True,2,2,False,100
0.18,0.34,26,False,-1,2,False,100
6.45,3.64,100,False,2,2,False,100
0.37,0.2,30,False,2,2,False,100
0.42,0.42,78,False,1,2,False,100
0.66,0.19,37,True,1,1,True,0
0.34,0.35,51,False,2,2,False,100
4.96,0.89,56,False,2,2,False,100
2.13,1.5,69,False,3,3,True,0
4.84,1.26,90,False,2,2,False,100
1.22,0.78,66,True,2,2,False,100
4.17,7.67,83,False,1,2,False,100
0.63,0.38,59,False,-1,2,False,100
6.0,3.36,85,True,2,2,False,100
4.11,6.33,83,True,2,2,False,100
0.76,0.16,69,False,2,2,False,100
2.75,0.57,45,False,2,2,False,100
0.62,0.27,24,False,2,2,False,100
0.32,1.05,57,False,2,2,False,100
2.83,2.17,66,False,1,2,False,100
0.82,1.81999999999999,81,False,-1,-1,True,0
18.5,25.75,66,False,3,3,True,0
2.0,0.4,59,True,2,2,False,100
1.04,0.11,100,True,2,2,False,100
0.12,0.17,40,False,1,2,False,100
9.0,6.2,57,False,2,2,False,100
